song_id,song,mood,mood_id,sentiment,artist_1,artist_2,note,mode,harmonic,percussion,tempo,zcr,spec_bw,spec_cent,rolloff,rmse,chroma,mel,tonnetz,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,loudness,onset_env
421,dil_ibadat,Emotional,1,,k.k.,0,2,0.9,-7.98E-07,-4.64E-05,131.7739775,0.092468426,2336.626181,2144.38573,4526.53661,0.258752465,0.323289633,15.8786993,-0.017605768,-30.85032654,97.80270386,-8.738735199,26.81607628,-0.680238128,3.362108231,-4.138724804,2.449492693,-8.554783821,4.731285095,-7.609090805,0.327513397,-2.396512032,-1.276169896,-6.591980934,-2.295947313,-7.810115337,-0.042670719,-5.802496433,2.731211424,-1.347955227,1.432136059
422,tum_mile_(rock),Party,1,,shafqat_amanat_ali,0,4,0.9,-1.24E-07,-1.57E-05,117.0212555,0.096264428,2273.1825,2072.317733,4276.693533,0.273613513,0.292442024,17.2250843,0.022752704,-36.73451614,98.01387787,-7.856292248,38.65444946,3.131705046,4.416635513,-1.257295966,0.676413178,-3.883124113,5.079276085,-2.955845833,3.013184071,-2.726776123,-0.827368498,-4.2134552,0.669233263,-8.467376709,-1.724712014,-6.03616333,-2.211653471,-2.089102268,1.218004942
423,is_jahaan_mein,Emotional,1,,mohit_chauhan,0,4,0.1,-3.54E-07,-0.000133218,119.0644961,0.107367985,2610.83513,2511.15306,5498.657981,0.26341328,0.281043857,16.28530884,0.000128876,-26.9540596,81.2223587,2.658232212,22.87293625,-3.746264935,8.915480614,-4.627370358,0.205192491,-3.38091135,4.389658928,-7.647119999,0.639803469,-2.23282671,3.351306915,-1.848876476,1.484287143,-8.743021011,1.520665288,-5.270771503,-1.635236621,-1.746694565,1.389016628
424,o_meri_jaan,Emotional,1,,k.k.,0,9,0.1,1.16E-07,-6.68E-05,135.9584519,0.077670272,2345.851622,1954.796283,4231.943315,0.243945971,0.283389628,14.463274,-0.002972725,-63.98506546,106.0408707,3.051125765,20.25141716,1.977232933,1.080880284,0.208736092,5.726258755,-10.415411,9.506528854,-6.274481773,0.140720874,-6.523411274,-2.796621799,-6.4538517,-1.137432814,-4.6852808,-1.389374852,-4.558770657,1.859378099,-1.934411168,1.30692625
425,tu_hi_haqeeqat,Emotional,1,,javed_ali,0,11,0.9,-1.06E-07,5.00E-05,117.4538352,0.078159234,2363.21443,2009.017802,4364.236315,0.263152152,0.274835587,16.84225273,0.018704248,-50.55474091,104.1994934,-0.363154352,23.13131142,6.925641537,4.386850357,-3.766612768,7.447350979,-9.720479965,6.999085903,-2.549441814,0.032495026,-6.946462154,-2.873540878,-9.225522995,-1.230528116,-7.130592346,1.411243439,-1.410563946,2.679866791,-2.45040369,1.609447718
426,tum_mile_(love_reprise),Emotional,1,,javed_ali,0,0,0.1,-2.75E-07,-5.95E-05,116.7361979,0.081588464,2395.684293,2081.285868,4501.260522,0.270642161,0.24724111,17.88547707,0.030329494,-56.50333405,98.77024841,3.673389673,25.80781937,2.091658592,-0.069298252,-10.1374588,0.992364049,-12.24610138,1.974618077,-3.154433012,-1.114765406,-6.086284161,-0.701046407,-11.18492508,-3.654169321,-7.962749958,-3.036706686,-3.541226625,-0.928360164,-3.136704922,1.405063629
427,tum_mile,Emotional,1,,neeraj_shridhar,0,0,0.1,2.35E-07,-3.57E-05,123.046875,0.097260387,2614.912267,2479.173591,5505.724277,0.230432644,0.326799095,12.63245201,0.022541062,-47.09094238,85.26692963,11.10837555,25.59667587,0.758108437,14.45935249,-7.560208321,4.139642715,-9.532865524,3.242094994,-1.434264064,-0.774133146,-4.494021416,3.783227682,-5.351459503,-0.585902274,-6.223813057,1.139727354,-2.106984854,3.968617678,-2.522239208,1.526670456
428,soul_of_tum_mile,Emotional,1,,instrumental,0,8,0.9,1.63E-07,-1.84E-06,131.950119,0.047888811,2024.092654,1437.422356,3087.644389,0.12460874,0.310806543,4.170268059,0.019614718,-162.7327576,128.8885498,14.93430328,27.66654968,1.629466653,5.376321316,1.329398394,6.419202805,-0.920929193,2.917019606,-7.425763607,-3.945055485,-2.338033199,2.669984341,0.935962081,3.823555946,-3.476777077,-0.592925251,-7.289155006,0.134585962,-6.112968922,1.16260922
429,dil_ibaadat_(rock),Party,1,,k.k.,0,2,0.9,-2.69E-09,3.12E-06,126.3021608,0.09243651,2331.458692,2104.090641,4497.982459,0.225248232,0.295277804,11.75016499,-0.015536891,-45.96146774,103.6515121,-4.539313316,35.24200439,4.223320007,2.586254358,-2.676885605,5.583894253,-5.379411697,4.493730545,-5.075155735,1.627163291,-3.424094915,1.635984778,-4.226909161,-0.535628617,-4.56208086,0.34596619,-6.584155083,2.160607815,-0.429972559,1.274536729
430,enna_sona,Emotional,2,5,a.r. rahman,arijit_singh,7,0.9,6.58E-08,1.81E-05,100.3535004,0.056405933,2344.346669,1640.229382,3678.223592,0.100179382,0.318539947,,0.00199796,-235.2507782,114.2540054,36.7893219,25.04567528,20.68492317,4.418387413,3.120610476,4.375174522,-9.350150108,9.703211784,3.711016178,-1.140040636,-2.847078323,0.970673859,-12.36804199,1.624004126,-11.52257252,-3.7766366,-11.16845608,-1.804276347,-7.145196438,1.394126654
431,radha_kaise_na_jale,Emotional,2,6,a.r. rahman,asha_bhosle,9,0.1,-7.26E-07,-3.83E-05,121.8383938,0.109576435,2486.511517,2307.334116,4842.512385,0.119928412,0.343888909,,-0.005972629,-150.5552521,96.82788849,9.282734871,23.74538994,9.693263054,-0.193257526,4.429908276,3.549587011,-7.63203764,5.432333946,-10.87919998,2.301305771,-1.99144578,3.930776358,-0.328361571,2.869172812,-2.594277143,4.601707458,-1.579930782,-4.889066696,-3.969992399,1.781952858
432,tu_hai,Emotional,2,5,a.r. rahman,sanah_moidutty,6,0.1,1.72E-07,-5.15E-05,120.3994482,0.044679246,2095.266666,1336.295519,2694.004543,0.273653477,0.338428974,,-0.007395314,-100.0260849,138.5426483,25.7245121,20.42890358,16.51334,13.97154713,-1.297266483,7.885802746,-5.997084618,4.973133087,-1.523157477,4.683507442,1.356562376,5.919532776,0.543981016,5.550111771,-4.312168121,5.056453705,-0.963471889,5.290446758,-1.646222949,1.298530817
433,chalne_lagi_hai_hawayein,Emotional,2,5,abhijeet srivastava,0,6,0.1,3.47E-07,-1.92E-05,97.46613112,0.063266057,1700.53711,1514.777239,3170.855826,0.155347079,0.30168134,,-0.008374946,-137.0702209,133.6442108,-26.19371033,48.07201767,-11.10246849,7.14974308,-3.783538342,7.352549553,-11.99130249,8.661779404,-9.526741982,1.932915211,-3.936122417,-3.608009815,-2.833926201,-3.099829197,-5.341003418,-1.01147449,-4.95210743,-0.511854172,-2.971467495,1.612152934
434,jaane_jaan_dhoondta,Emotional,2,7,abhijeet sawant,sumedha_karmahe,7,0.9,-2.63E-07,2.81E-05,113.2300506,0.067886778,2341.083236,1873.310999,4037.671418,0.195571214,0.240312576,,0.007757974,-115.6250229,104.8144608,8.79921627,15.08730888,-6.330313206,3.317287683,2.153850079,-3.825320005,-12.54517555,3.350141525,-11.25410938,2.596087456,-2.263817072,-2.240446091,-3.395837307,-0.044616226,0.555639505,4.480163574,-6.455173492,1.103786469,-6.138836861,1.268259287
435,mohabbatein_lutaaunga,Emotional,2,5,abhijeet sawant,0,8,0.9,3.78E-07,-8.23E-06,83.76259834,0.092514936,2406.031026,2208.672546,4591.247237,0.094918407,0.316270173,,0.005160644,-146.5883026,97.60012817,-3.63898325,20.75756073,0.317703664,-0.255662531,-2.863747597,6.022983551,-8.692204475,9.212334633,-3.16760397,-1.043085575,-8.362648964,-0.993350029,-4.060578823,2.017413378,-4.865046501,1.98673594,-6.410565853,-3.026106358,-2.215434074,1.527454019
436,kuch_to_bata,Emotional,2,6,abhijeet sawant,alka_yagnik,9,0.9,-5.04E-07,4.62E-06,121.6086233,0.139904483,2445.583475,2718.817526,5376.667488,0.149278417,0.357610077,,0.006554272,-69.44822693,71.7953186,-22.01907539,18.4357357,0.750761151,11.46398163,-0.473806471,5.37940979,-1.128399968,8.837485313,-6.504531384,1.923753262,-1.266087532,4.394486427,3.282048941,7.438894749,-1.803815603,0.347611934,-4.951163769,0.264645308,-4.439862728,1.708247423
437,main_koi_aisa_geet_gaoon,Emotional,2,5,abhijeet sawant,alka_yagnik,8,0.9,-4.71E-06,6.67E-06,125.2378017,0.136245019,1731.788215,2128.783138,4054.50465,0.070204109,0.292712629,,0.015774733,-184.0131073,121.3434753,-63.7732811,59.55275726,-29.4418354,26.78290939,-12.32517338,6.601296425,-7.126034737,-4.771811485,-1.125117302,-5.910077095,6.594040394,-7.757200241,2.865483999,-6.96209383,0.04344248,-3.982657671,-2.050000429,-4.641236305,-4.286440372,1.510748386
438,kabhi_yaadon_me_aau,Emotional,2,7,abhijeet sawant,divya_khosla_kumar,0,0.1,8.11E-07,-9.49E-06,111.4473017,0.090202213,1950.061893,1854.088641,3711.981721,0.188673392,0.264980376,,0.002178333,-130.2406464,109.860466,-9.917004585,33.37077332,-17.48583603,-2.901845455,-1.970351219,0.933309257,-15.57418823,0.111927517,-4.385030746,1.133586764,-3.029282331,-12.01555061,-8.734119415,-5.549803734,-10.13010788,-4.855175018,-9.913477898,-0.80527848,-6.834148884,1.545541644
439,o_saathi,Emotional,2,5,ahmed khan,0,0,0.9,-1.01E-06,-2.34E-05,107.5440788,0.085466414,2491.508342,2088.421252,4541.280873,0.172876105,0.269009054,,0.029871415,-122.1335754,103.1928329,8.704185486,17.96145248,7.276490211,-6.672204018,4.609714985,-13.38150597,-6.989010811,5.694319248,-13.7982235,8.558775902,-12.55310822,-4.857529163,-2.156582594,-0.400513738,-6.860325813,4.196747303,-11.00490284,-4.440999031,-3.068519592,1.411907792
440,ajnabi_mujhko_itna_bata,Emotional,2,5,ajay,asha_bhosle,5,0.1,-1.15E-06,8.18E-07,116.242569,0.074941346,1085.420946,1185.934635,2221.111569,0.195509747,0.271002829,,0.005291999,-138.2001801,188.0940704,-66.21300507,39.69910812,-0.119405739,-7.973485947,3.860968828,-5.258903027,-1.401785135,-5.426880836,-2.457100153,-2.729894638,0.895823658,-1.749396801,-0.808287799,-0.181555301,-1.034461141,0.501100361,-1.568095207,0.438479006,-1.891642809,1.317889929
441,voh_dekhnay_mein,Emotional,2,5,ali zafar,aditi_rao_hydari,8,0.1,9.40E-07,3.26E-07,143.7119334,0.090183506,2380.178974,2182.591218,4652.884365,0.121507272,0.308884561,,-0.011967111,-156.2661743,91.25314331,3.311621666,28.17053795,13.94651318,3.234498978,-6.489790916,8.482382774,-12.88799,10.78192902,-8.316465378,2.220380783,-5.107861996,-2.809752941,-0.884110093,-6.315378666,-10.47920799,-2.918369293,-12.21478939,-6.004066944,-3.312749386,1.644314289
442,tu_hi_hai,Emotional,2,5,ali zafar,arijit_singh,9,0.9,2.00E-07,-6.92E-06,115.2267627,0.077149004,2579.076626,2144.629049,4981.886542,0.171800524,0.299024403,,0.002785908,-109.9089355,91.10369873,11.98832035,20.82865715,8.987918854,9.610621452,-1.379679203,-0.153225824,-13.34082985,6.953717709,-4.376129627,1.808573723,-5.031719208,-3.749076843,-5.352085114,-4.374971867,-7.3375597,5.366436005,-6.452823639,-2.637399673,-1.89615345,1.395480275
443,pehli_pehli_baar_mohabbat_ki_hai,Emotional,2,3,alka yagnik,kumar_sanu,7,0.9,-4.52E-08,-4.15E-06,139.9463245,0.203339473,1813.537883,2763.360009,4386.981806,0.063846268,0.290123582,,-0.010497411,-196.9204407,55.16001129,-63.97016525,38.77570343,-16.66024399,2.435789108,-5.320946693,-2.063079834,-12.34253502,-1.942979693,-16.09946442,-0.753263652,-7.800180912,2.451837778,-7.877505779,-2.958159685,-7.204920769,0.897698641,-3.892264366,-6.459947109,-1.15599072,1.709331393
444,aate_jaate_jo_milta,Emotional,2,5,alka yagnik,sonu_nigam,9,0.1,-1.69E-07,-3.42E-05,118.7920346,0.107984797,2409.425522,2344.753332,4896.349559,0.127828658,0.32790938,,-0.005668463,-118.1740646,86.42718506,-8.638141632,26.87399864,5.984388828,6.749632835,-0.607551336,8.064599991,-7.825344086,2.696308613,-10.1009531,3.184914589,-1.277230978,3.556940794,-1.834558964,1.552238464,-4.703086376,2.890289068,-5.914591789,-0.485614926,-3.590009689,1.619042516
445,deewana_hai_dekho,Emotional,2,6,alka yagnik,sonu_nigam,8,0.1,1.15E-07,-7.68E-06,110.8707276,0.139361213,2777.29036,2991.620098,6309.499347,0.102339663,0.331196964,,0.014594008,-134.0673828,61.93766785,3.516405821,15.65023232,-1.059087634,9.977705002,3.171918154,4.762541294,-4.071708679,4.277040482,-7.150597572,2.757023096,-0.088269264,11.10719013,4.700448036,8.062543869,0.853100836,2.914628744,-1.45187521,1.441570282,-8.105959892,1.615195751
446,main_rahoon_ya_na_rahoon,Emotional,2,3,amaal mallik,armaan_malik,1,0.1,2.38E-06,2.25E-05,135.0205987,0.080666935,2238.80316,1837.785624,3805.347823,0.097369231,0.340222746,,-0.008855809,-241.7827759,106.8529434,5.592572212,10.82940197,-0.68882978,-0.096389346,0.813767254,0.524837255,-2.960770845,3.177717686,-6.577148438,-2.317529917,-7.374798775,-6.058206081,-8.0680933,-5.10820961,-6.628115654,-1.870138407,-4.942869186,-1.669182897,-4.402118206,1.226217747
447,naina,Emotional,2,5,amaal mallik,0,3,0.1,-5.89E-08,-4.19E-05,126.3424388,0.073189278,2311.107011,1843.329935,3937.555357,0.215525299,0.325268298,,-0.000440376,-80.730896,106.83918,4.243097782,34.23129272,11.61040688,3.964281797,3.474467993,6.798908234,-0.394158572,7.702273846,-1.765646219,4.391674995,-6.504774094,-2.800404072,-2.152368069,-2.816052437,-4.049153328,0.716972232,-3.336243153,2.604224682,-6.5047822,1.223384023
448,iktara,Emotional,2,5,amit trivedi,kavita_seth,7,0.1,-7.49E-08,-6.74E-06,118.7032794,0.080892368,2528.227761,2226.24163,4946.145091,0.089573234,0.308476865,,0.021114655,-178.3378448,89.45289612,16.46253777,27.46630096,-1.479384661,12.38869381,-2.948832035,1.360930562,-8.023521423,3.27589488,-6.610891819,-0.540246248,-7.627282619,-1.878043771,-6.078550339,-3.795629263,-4.247920513,-0.293542713,-6.019666672,-1.837203145,-4.599265575,1.481018662
449,bezubaan,Emotional,2,5,anupam roy,0,2,0.1,4.32E-07,4.21E-06,141.1688419,0.068311756,2253.09173,1805.099832,3913.784667,0.140275776,0.310503244,,-0.013257384,-141.0586243,117.9110184,9.279144287,17.75859833,15.71928692,11.54228401,-1.110762715,9.326810837,-5.818563461,8.121994972,-2.00762701,-0.925519228,-6.824288368,-0.069209047,-3.77260685,-1.834128141,-5.421350479,1.601225376,-7.514139175,-3.77821064,-6.517541409,1.266558051
